Fact,Michigan,United States,"Flint city, Michigan"
Owner-occupied housing unit rate,0.712,0.64,0.569
Median value of owner-occupied housing units,154900,217500,29500
Median selected monthly owner costs -with a mortgage,1298,1595,880
Median selected monthly owner costs -without a mortgage,490,500,406
Median gross rent,871,1062,716
percent of detached homes,0.718,0.613,0.78
percent of 1 attached homes ,0.046,0.058,0.039
Percent of 2 attached homes,0.024,0.035,0.048
"Households, 2015-2019",3935041,120756048,40362
"Persons per household, 2015-2019",2.47,2.62,2.33
Living in same house 1 year ago,0.862,0.858,0.826
Male:,0.488,0.488,0.466
Never married,0.181,0.181,0.226
Now married:,0.24,0.247,0.155
"Married, spouse present",0.225,0.225,0.134
"Married, spouse absent:",0.016,0.022,0.021
Separated,0.005,0.008,0.009
Other,0.01,0.014,0.012
Widowed,0.014,0.013,0.022
Divorced,0.052,0.047,0.063
Female:,0.512,0.512,0.534
Never married,0.157,0.158,0.248
Now married:,0.243,0.247,0.168
"Married, spouse present",0.227,0.224,0.143
"Married, spouse absent:",0.016,0.024,0.025
Separated,0.007,0.01,0.018
Other,0.009,0.013,0.008
Widowed,0.047,0.044,0.036
Divorced,0.065,0.063,0.083
